idCliente,tipoCliente,ingresosMensuales,totalDeudasActuales,estadoSolicitud,nivelMorosidad
CL413,REGULAR,14295,4068,RECHAZADO,NORMAL
CL340,REGULAR,7311,6059,APROBADO,NORMAL
CL198,PREMIUM,7743,11484,APROBADO,NORMAL
CL231,PREMIUM,8452,7237,APROBADO,NORMAL
CL437,PREMIUM,10278,6330,RECHAZADO,NORMAL
CL084,PREMIUM,7799,3829,PRE_APROBADO,NORMAL
CL427,PREMIUM,12692,11296,PRE_APROBADO,NORMAL
CL579,REGULAR,10266,301,PRE_APROBADO,NORMAL
CL983,PREMIUM,12832,2421,PRE_APROBADO,NORMAL
CL635,BLACK,11812,8425,RECHAZADO,NORMAL
CL231,PREMIUM,7027,2401,RECHAZADO,NORMAL
CL343,REGULAR,4605,3969,RECHAZADO,NORMAL
CL695,PREMIUM,2576,1603,APROBADO,NORMAL
CL711,PREMIUM,7242,1443,PRE_APROBADO,NORMAL
CL937,REGULAR,8913,4084,RECHAZADO,NORMAL
CL319,PREMIUM,5712,4241,RECHAZADO,NORMAL
CL648,REGULAR,8178,8192,PRE_APROBADO,NORMAL
CL506,REGULAR,5929,1361,APROBADO,NORMAL
CL719,PREMIUM,1698,1356,PRE_APROBADO,NORMAL
CL170,PREMIUM,12736,2338,APROBADO,NORMAL
CL648,BLACK,11505,8633,APROBADO,NORMAL
CL380,PREMIUM,12254,8128,APROBADO,NORMAL
CL872,REGULAR,4203,2517,PRE_APROBADO,NORMAL
CL074,REGULAR,13031,14488,PRE_APROBADO,NORMAL
CL192,REGULAR,1986,1025,APROBADO,NORMAL
CL842,PREMIUM,13169,16563,PRE_APROBADO,NORMAL
CL612,REGULAR,3905,1208,APROBADO,NORMAL
CL853,PREMIUM,13614,6381,PRE_APROBADO,NORMAL
CL058,PREMIUM,11908,9707,APROBADO,NORMAL
CL864,REGULAR,14594,484,PRE_APROBADO,NORMAL
CL152,PREMIUM,5096,91,APROBADO,NORMAL
CL187,REGULAR,14808,16807,RECHAZADO,NORMAL
CL266,REGULAR,11223,7361,APROBADO,NORMAL
CL623,REGULAR,5638,2371,PRE_APROBADO,NORMAL
CL305,BLACK,2491,1921,RECHAZADO,NORMAL
CL743,PREMIUM,7561,7521,PRE_APROBADO,NORMAL
CL649,REGULAR,4983,3312,APROBADO,NORMAL
CL970,REGULAR,10279,2006,APROBADO,NORMAL
CL433,REGULAR,6926,3327,APROBADO,NORMAL
CL770,PREMIUM,10609,545,PRE_APROBADO,NORMAL
CL230,REGULAR,4773,4700,APROBADO,NORMAL
CL407,REGULAR,12639,1389,APROBADO,NORMAL
CL139,BLACK,14974,5444,APROBADO,NORMAL
CL747,REGULAR,7936,6680,APROBADO,NORMAL
CL368,REGULAR,11053,13533,RECHAZADO,NORMAL
CL099,PREMIUM,14184,12773,PRE_APROBADO,NORMAL
CL854,REGULAR,10049,1164,RECHAZADO,NORMAL
CL005,PREMIUM,9544,3374,PRE_APROBADO,NORMAL
CL159,PREMIUM,6016,4172,RECHAZADO,NORMAL
CL093,PREMIUM,1556,3787,RECHAZADO,NORMAL
CL574,REGULAR,7280,5182,PRE_APROBADO,NORMAL
CL426,REGULAR,7716,2415,APROBADO,NORMAL
CL850,PREMIUM,3888,1760,APROBADO,NORMAL
CL168,PREMIUM,4846,2568,RECHAZADO,NORMAL
CL856,BLACK,2358,1228,RECHAZADO,NORMAL
CL854,REGULAR,3538,2459,PRE_APROBADO,NORMAL
CL358,PREMIUM,4124,2408,RECHAZADO,NORMAL
CL401,REGULAR,12988,13086,PRE_APROBADO,NORMAL
CL790,PREMIUM,4776,2437,APROBADO,NORMAL
CL642,REGULAR,6091,433,PRE_APROBADO,NORMAL
CL305,PREMIUM,12125,10029,PRE_APROBADO,NORMAL
